Manufactuer,Model,mpg,Transmission,Displacement,Carburetor,Axle Ratio
Honda,Civic,29.1,M4,76,2 BARREL,4.93
Toyota,Corolla-1 Coupe,27.1,M4,71,2 BARREL,4.22
Lotus,Europa Special,25.2,M5,95,2 BARREL,3.78
Toyota,Corolla-1 Sedan,24.8,M4,71,2 BARREL,4.22
Lotus,Europa,24.5,M4,95,2 BARREL,3.56
Standard Triumph,Spitfire,23.1,M4,91,1 BARREL,3.89
Austin Morris BMC,MG Midget,22.4,M4,78,1 BARREL,3.9
Standard Triumph,Spitfire,22.3,M4,91,1 BARREL,3.89
Honda,Civic,21.8,SA,76,1 BARREL,4.11
Austin Morris BMC,MG Midget,21.7,M4,78,1 BARREL,3.9
NISSAN,DATSUN  8210,22.2,A3,79,2 BARREL,3.9
Nissan,Datsun 8210,21.9,M4,79,2 BARREL,3.9
sAAB,SAAB  97,21.7,M4,103,l BARREL,4.66
voLKSWAGEN,KARMAN  GHI A  14 (COUP E),21.7,M4 ,97,1 BARREL,3.88
FUJI  HEAVY  IND,SUBARU  COUPE,21.7,M4 ,83,2 BARREL,3.89
VOLKSWAGEN,VW  181  (The  Thing),21.0,M4  ,97,1 BARREL,4.12
voLKSWAGEN,SUPER  BEATLE,20.9,M4 ,97,1 BARREL,3.38
TOYOTA,CAROUA-2  SEDAN,20.8,A2,97,2 BARREL,3.90
FUJI  HEAVY  IND,SUBARU  COUPE,20.8,M4 ,83,2 BARREL,3.89
FIAT,Xl / 9,20.4,M4,79,2 BARREL,4.03
sAAB,SAAB  97,20.3,14,103,1 BARREL,4.66
TOYOTA,COROLLA-2  SEDAN,18.8,M4 ,97,2 BARREL,3.91
FIAT,128  STATION  WAGON,17.8,M4,79,2 BARREL,4.42
FIAT,128  SEDAN,17.4,M4,79,2 BARREL,4.08
VOLKSWAGEN,VW  SEDAN  32  (Dasher),24.3,M4,90,2 BARREL,4.11
VOLKSWAGEN,VW  STATION  WAGON  33,23.7,A3,90,2 BARREL,4.09
VOLKSWAGEN,"(Dashe r)
VW  SEDAN  32  (Dasher)",23.3,A3,90,2 BARREL,4.09
VOLKSWAGEN,VW  SEDAN  32  (Dasher),22.7,A3,90,2 BARREL,4
VOLKSWAGEN,VW SEDAN 32 (Dasher),22.7,M4,90,2 BARREL,4
MITSUBISHI,DODGE   COLT   COUPE,22.7,A3,98,2 BARREL,3.89
FUJI  HEAVY  IND,SUBARU   WAGON,22.7,M4,83,2 BARREL,3.89
VOLKSWAGEN,CONVERTIBLE   15,22.6,SA,97,l BARREL,4.12
MITSUBISHI,DODGE  COLT  COUPE,22.5,M4,98,2 BARREL,3.89
AUDI  (AUTO  UNION),AUDI  FOX,22.0,M4,90,2 BARREL,4.11
FUJI  HEAVY  I ND,SUBARU WAGON,21.5,M4,83,2 BARREL,3.89
VOLKSWAGEN,VW  STATION  WAGON  33,21.2,A3,90,2 BARREL,4.09
TOYOTA,COROLLA-2   WAGON,21.1,A3,97,2 BARREL,4.10
AUDI (AUTO UNION),AUDI  FOX,21.1,M4,90,2 BARREL,4.11
FIAT,124  SPECIAL  TC,20.2,M4,97,2 BARREL,4
NISSAN,DATSUN   710,20.0,M4,108,2 BARREL,3.89
TOYO  KOGYO,MAZDA   808   COUPE,20.0,M4,97,2 BARREL,3.70
OPEL,MANTA   RALLYE,19.8,M4,116,2 BARREL,3.67
TOYOTA,COROLLA-2   SEDAN,19.6,AZ,97,2 BARREL,4.10
ALFA  ROMEO,2000   GTV,19.1,M4,120,FUEL INJ.,4.55
RENAULT,12   SEDAN,19.1,A3,100,2 BARREL,3.55
MITSUBISHI,DODGE   COLT   COUPE,19.1,A3,122,2  BARR EL,3.55
TOYOTA,COROL LA-2  WAGON,19.0,A3,97,2 BARREL,4.10
TVR,TVR  2500M,19.0,M4,152,2 BARREL,3.45
TOYO  KOGYO,MAZDA   808   COUPE,18.9,A3,97,2 BARREL,4.11
